广西IPTV,#genre#
广西卫视-高清,rtp://239.81.0.107:4056
广西综艺旅游高清,rtp://239.81.0.214:4056
广西新闻高清,rtp://239.81.0.248:4056
广西都市高清,rtp://239.81.0.247:4056
广西影视高清,rtp://239.81.0.250:4056
柳州新闻综合,rtp://239.81.0.175:4056
南宁新闻综合高清,rtp://239.81.0.241:4056
桂林新闻综合,rtp://239.81.0.174:4056
防城港新闻,rtp://239.81.0.151:4056
CCTV-1综合高清,rtp://239.81.0.102:4056
CCTV-2财经高清,rtp://239.81.0.115:4056
CCTV-3综艺高清,rtp://239.81.0.231:4056
CCTV-4中文国际,rtp://239.81.0.96:4056
CCTV-5体育高清,rtp://239.81.0.232:4056
CCTV-5＋体育赛事,rtp://239.81.0.101:4056
CCTV-6电影高清,rtp://239.81.0.233:4056
CCTV-7国防军事,rtp://239.81.0.116:4056
CCTV-8电视剧高清,rtp://239.81.0.234:4056
CCTV-9纪录高清,rtp://239.81.0.117:4056
CCTV-10科教高清,rtp://239.81.0.118:4056
CCTV-11戏曲高清,rtp://239.81.0.229:4056
CCTV-12社会与法,rtp://239.81.0.119:4056
CCTV-13新闻高清,rtp://239.81.0.206:4056
CCTV-14少儿高清,rtp://239.81.0.120:4056
CCTV16奥林匹克,rtp://239.81.0.142:4056
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
北京卫视-高清,rtp://239.81.0.109:4056
东方卫视-高清,rtp://239.81.0.111:4056
江苏卫视-高清,rtp://239.81.0.106:4056
浙江卫视-高清,rtp://239.81.0.108:4056
湖南卫视-高清,rtp://239.81.0.110:4056
广东卫视-高清,rtp://239.81.0.104:4056
深圳卫视-高清,rtp://239.81.0.103:4056
东南卫视高清,rtp://239.81.0.215:4056
江西卫视高清,rtp://239.81.0.204:4056
安徽卫视高清,rtp://239.81.0.211:4056
天津卫视-高清,rtp://239.81.0.113:4056
CCTV-15音乐高清,rtp://239.81.0.230:4056
CCTV-17农业农村,rtp://239.81.0.228:4056
熊猫频道高清,rtp://239.81.0.121:4056
崇左综合],rtp://239.81.0.171:4056
贵港新闻综合,rtp://239.81.0.172:4056
来宾综合,rtp://239.81.0.173:4056
桂林新闻综合,rtp://239.81.0.174:4056
梧州新闻综合,rtp://239.81.0.176:4056
玉林新闻综合[,rtp://239.81.0.177:4056
金鹰纪实-高清,rtp://239.81.0.91:4056
金鹰卡通高清,rtp://239.81.0.148:4056
卡酷动画,rtp://239.81.0.62:4056
嘉佳卡通,rtp://239.81.0.64:4056
南京少儿,http://live.nbs.cn/channels/njtv/sepd/500k.m3u8?zjiangsd
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/360p.m3u8?zzhed
CHC家庭影院,rtp://239.81.0.238:4056
CHC动作电影,rtp://239.81.0.239:4056
CHC高清电影,rtp://239.81.0.240:4056
动漫秀场,rtp://239.81.0.68:4056
少儿动画,rtp://239.81.0.82:4056
新动漫,rtp://239.81.0.235:4056
求索纪录高清,rtp://239.81.0.153:4056
河池新闻综合,rtp://239.81.0.168:4056
湖北卫视-高清,rtp://239.81.0.112:4056
山东卫视-高清,rtp://239.81.0.114:4056
黑龙江卫视-高清,rtp://239.81.0.105:4056
四川卫视高清,rtp://239.81.0.130:4056
辽宁卫视高清,rtp://239.81.0.210:4056
甘肃卫视高清,rtp://239.81.0.207:4056
吉林卫视-高清,rtp://239.81.0.143:4056
河北卫视高清,rtp://239.81.0.94:4056
贵州卫视高清,rtp://239.81.0.95:4056
云南卫视,rtp://239.81.0.45:4056
厦门卫视,rtp://239.81.0.212:4056
兵团卫视,rtp://239.81.0.213:4056
吉林卫视,rtp://239.81.0.58:4056
青海卫视,rtp://239.81.0.53:4056
内蒙古卫视,rtp://239.81.0.54:4056
西藏卫视,rtp://239.81.0.55:4056
河北卫视,rtp://239.81.0.51:4056
三沙卫视,rtp://239.81.0.242:4056
云南卫视,rtp://239.81.0.45:4056
新疆卫视,rtp://239.81.0.46:4056
重庆卫视,rtp://239.81.0.47:4056
海南卫视,rtp://239.81.0.48:4056
山西卫视,rtp://239.81.0.49:4056
河南卫视,rtp://239.81.0.44:4056
广西IPTV首页视频,rtp://239.81.0.202:4056
IPTV3＋,rtp://239.81.0.66:4056
IPTV5＋,rtp://239.81.0.12:4056
IPTV5＋高清,rtp://239.81.0.133:4056
IPTV6＋,rtp://239.81.0.65:4056
IPTV8＋,rtp://239.81.0.67:4056
IPTV野外,rtp://239.81.0.18:4056
IPTV法治,rtp://239.81.0.20:4056
IPTV相声小品,rtp://239.81.0.17:4056
IPTV谍战剧场,rtp://239.81.0.15:4056
IPTV足球,rtp://239.81.0.97:4056
山东教育卫视,rtp://239.81.0.93:4056
CETV1高清,rtp://239.81.0.92:4056
CETV2,rtp://239.81.0.245:4056
CETV4,rtp://239.81.0.246:4056
CCTV中学生,rtp://239.81.0.87:4056
中国教育-高清,rtp://239.81.0.92:4056 
山东教育卫视,rtp://239.81.0.93:4056
体育赛事,rtp://239.81.0.243:4056
中国足协杯,rtp://239.81.0.99:4056
七彩戏剧,rtp://239.81.0.70:4056
欢笑剧场,rtp://239.81.0.71:4056
游戏风云,rtp://239.81.0.72:4056
极速汽车,rtp://239.81.0.73:4056
生活时尚,rtp://239.81.0.75:4056
东方财经,rtp://239.81.0.76:4056
中国气象,rtp://239.81.0.63:4056
全纪实,rtp://239.81.0.78:4056
法治天地,rtp://239.81.0.79:4056
金色频道,rtp://239.81.0.80:4056
都市剧场,rtp://239.81.0.81:4056
魅力时尚,rtp://239.81.0.83:4056
经典电影,rtp://239.81.0.84:4056
热播剧场,rtp://239.81.0.85:4056
收视指南,rtp://239.81.0.86:4056
